time,Fx,Fy,Fz
1.024000,-30.972669,1.577249,354.189418
1.026000,-30.223174,1.531777,341.100100
1.028000,-26.444513,4.401695,328.197024
1.030000,-29.070331,3.353088,312.482245
1.032000,-28.663928,2.647099,299.274093
1.034000,-26.902207,3.210338,286.970581
1.036000,-26.088330,2.915989,271.354101
1.038000,-24.851101,3.462912,256.040309
1.040000,-21.456487,4.089622,243.086395
1.042000,-18.961967,5.139903,229.818759
1.044000,-15.764795,6.094195,217.636939
1.046000,-12.589318,7.071006,206.070449
1.048000,-8.985642,7.946677,194.563036
1.050000,-5.983551,8.959586,183.162099
1.052000,-3.288421,9.838635,173.243126
1.054000,-3.590707,9.343856,164.889778
1.056000,-1.460965,9.967938,156.303669
1.058000,0.566233,10.903518,147.762352
1.060000,2.912725,11.437220,140.451157
1.062000,4.921122,12.104460,133.305513
1.064000,6.382777,12.887005,126.161526
1.066000,8.471356,13.358056,119.465837
1.068000,9.798784,14.040553,113.323525
1.070000,14.188411,15.462556,106.384157
1.072000,12.495303,14.709896,102.959844
1.074000,13.400973,15.257225,97.674706
1.076000,14.181910,15.310613,93.176087
1.078000,15.343974,15.899947,88.816757
1.080000,16.026780,16.144648,85.145043
1.082000,16.447449,16.444649,81.841344
1.084000,16.842179,16.538609,78.938879
1.086000,17.453548,16.531639,75.892658
1.088000,17.363827,16.625001,73.558167
1.090000,17.469058,16.578811,71.424401
1.092000,17.470640,16.448681,69.946881
1.094000,17.752895,16.237639,68.443824
1.096000,17.575963,16.033533,67.288511
1.098000,16.647485,15.703714,66.989444
1.100000,20.157511,16.724284,62.504145
1.102000,15.885241,15.012624,66.314879
1.104000,17.881209,15.933898,63.961685
1.106000,16.892626,15.491731,64.640808
1.108000,17.338727,15.330477,63.758841
1.110000,16.793702,14.837166,64.025591
1.112000,16.072604,14.268476,64.499141
1.114000,15.228787,13.636529,65.093551
1.116000,17.254761,14.273262,62.650525
1.118000,13.648768,12.390803,65.549140
1.120000,12.495994,11.517304,68.157577
1.122000,10.589316,10.381372,70.685450
1.124000,9.832541,9.699507,71.641675
1.126000,9.245151,9.077266,72.446304
1.128000,10.049985,9.502920,71.749267
1.130000,9.515190,8.934061,72.487196
1.132000,8.892749,8.283042,73.364399
1.134000,11.646007,9.164757,69.590324
1.136000,7.562203,6.939678,75.203050
1.138000,6.521781,6.108666,76.723440
1.140000,5.966096,5.521589,77.521074
1.142000,6.193601,5.323486,77.192891
1.144000,4.279981,4.098654,79.633822
1.146000,4.438350,3.921175,79.685587
1.148000,6.044290,4.450810,77.237066
1.150000,3.835502,3.156217,80.653691
1.152000,3.283264,2.667882,81.593646
1.154000,1.250781,2.117760,83.672131
1.156000,0.895638,1.838565,84.164800
1.158000,0.503119,1.566245,84.696180
1.160000,0.461863,1.405267,84.865115
1.162000,0.481826,1.286186,84.975570
1.164000,0.519681,1.198764,85.074931
1.166000,0.568926,1.140366,85.171531
1.168000,0.628521,1.109376,85.268216
1.170000,0.698242,1.104347,85.366978
1.172000,0.777988,1.123878,85.469628
1.174000,0.867688,1.166571,85.577921
1.176000,0.968527,1.229794,85.710351
1.178000,-5.993462,2.391742,92.376398
1.180000,-6.035933,2.584574,92.690152
1.182000,-5.057963,2.680197,91.986053
1.184000,-3.934437,2.756345,91.182504
1.186000,-2.798524,2.819304,90.416798
1.188000,-1.671130,2.865747,89.709635
1.190000,-0.683634,3.044511,88.237928
1.192000,0.547144,2.894353,88.478365
1.194000,1.725796,2.866537,87.849469
1.196000,2.807715,2.810373,87.393832
1.198000,3.422854,2.245434,87.443633
1.200000,4.413819,1.910329,87.162094
1.202000,5.704266,1.811705,86.619811
1.204000,9.274892,29.048426,83.640896
1.206000,9.636843,21.371100,83.869011
1.208000,10.766289,12.197709,83.601779
1.210000,12.792008,5.604734,82.866767
1.212000,13.282674,-0.729127,82.661332
1.214000,14.217702,-3.716184,82.493865
1.216000,-38.440214,14.847980,327.593829
1.218000,-37.749477,12.707625,336.381775
1.220000,-36.532643,11.085506,343.890909
1.222000,-34.701456,10.134066,334.582101
1.224000,-32.632882,9.220499,324.544115
1.226000,-30.454883,8.433204,314.151539
1.228000,-26.434673,4.863437,299.501165
1.230000,-25.990471,4.287106,287.076476
1.232000,-25.358490,3.856873,274.665830
1.234000,-24.038695,3.171583,262.358518
1.236000,-22.190881,2.285114,250.292261
1.238000,-19.240613,1.328303,238.868070
1.240000,-17.687520,0.185007,226.444268
1.242000,-15.378776,-0.852703,215.737884
1.244000,-12.953421,-1.896815,205.728823
1.246000,-10.018236,-2.797161,196.499688
1.248000,-8.256170,-3.941527,186.463255
1.250000,-5.934591,-4.942090,177.211032
1.252000,-3.807126,-5.874342,168.353444
1.254000,-4.283910,-4.961026,162.404094
1.256000,-2.404519,-5.315618,155.766731
1.258000,-1.301530,-5.985114,148.561581
1.260000,0.372875,-6.665458,141.777595
1.262000,1.886945,-7.265547,135.864569
1.264000,3.265997,-7.807389,130.309166
1.266000,4.514279,-8.296204,125.049396
1.268000,5.650507,-8.742989,120.055946
1.270000,6.962097,-8.991951,115.372768
1.272000,7.576922,-9.490809,110.908327
1.274000,8.428982,-9.850368,106.376534
1.276000,9.417454,-9.987591,102.439936
1.278000,9.549186,-10.024468,99.267813
1.280000,10.288482,-10.068927,95.775849
1.282000,10.662500,-10.236519,92.300530
1.284000,10.513414,-10.448251,89.331799
1.286000,10.716625,-10.565481,86.380939
1.288000,10.922920,-10.605941,84.075100
1.290000,11.069151,-10.605513,82.032523
1.292000,11.712039,-10.569189,79.820993
1.294000,11.512522,-10.476214,78.020525
1.296000,11.090599,-10.440295,76.710899
1.298000,10.950367,-10.320960,75.393717
1.300000,11.071354,-10.239374,74.187791
1.302000,10.662068,-9.984686,73.359724
1.304000,12.303322,-10.615013,71.054414
1.306000,11.424540,-10.351123,70.805434
1.308000,11.635560,-10.201562,69.552377
1.310000,11.289048,-9.919184,69.082898
1.312000,10.845454,-9.612591,68.703517
1.314000,9.910829,-9.212705,69.024844
1.316000,9.426576,-8.860635,68.891630
1.318000,8.851491,-8.476205,68.814596
1.320000,8.428495,-8.108873,68.842784
1.322000,8.022308,-7.739867,68.935813
1.324000,8.144288,-7.508140,68.391351
1.326000,7.208932,-7.002599,69.251463
1.328000,6.801795,-7.292759,69.064666
1.330000,6.248365,-6.942294,69.342917
1.332000,6.255131,-6.819675,69.272730
1.334000,5.929882,-6.460230,69.574387
1.336000,5.564453,-6.077044,69.940706
1.338000,5.801518,-5.917521,69.586740
1.340000,5.463357,-5.573244,69.967612
1.342000,5.067122,-5.215128,70.393175
1.344000,4.605069,-4.851607,70.884515
1.346000,3.526776,-4.258706,72.108453
