time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.542000,1,0.182787,0.633981,1.373998,-0.295066,-0.484441,1.141951
0.542000,1,0.183917,0.636640,1.381198,-0.295369,-0.485355,1.142067
0.544000,1,0.185148,0.639312,1.388237,-0.295573,-0.486371,1.142391
0.548000,1,0.186469,0.641982,1.395183,-0.295688,-0.487466,1.142905
0.548000,1,0.187871,0.644645,1.402063,-0.295720,-0.488625,1.143592
0.550000,1,0.189355,0.647302,1.408878,-0.295667,-0.489847,1.144445
0.552000,1,0.190911,0.649947,1.415641,-0.295535,-0.491118,1.145449
0.556000,1,0.192523,0.652571,1.422376,-0.295338,-0.492419,1.146583
0.556000,1,0.194174,0.655174,1.429036,-0.295080,-0.493744,1.147835
0.560000,1,0.195864,0.657758,1.435622,-0.294759,-0.495091,1.149200
0.560000,1,0.197552,0.660319,1.441974,-0.294387,-0.496450,1.150658
0.562000,1,0.199239,0.662860,1.448105,-0.293961,-0.497819,1.152206
0.564000,1,0.200930,0.665373,1.454181,-0.293500,-0.499182,1.153823
0.566000,1,0.202626,0.667860,1.460204,-0.293003,-0.500538,1.155509
0.568000,1,0.204315,0.670310,1.466226,-0.292485,-0.501871,1.157240
0.570000,1,0.205986,0.672727,1.472191,-0.291950,-0.503181,1.159009
0.572000,1,0.207639,0.675112,1.478101,-0.291396,-0.504467,1.160817
0.574000,1,0.207639,0.675112,1.478101,-0.291396,-0.504467,1.160817
0.574000,1,0.210812,0.679791,1.489420,-0.290255,-0.506956,1.164496
0.578000,1,0.212322,0.682088,1.494797,-0.289672,-0.508158,1.166362
0.580000,1,0.213790,0.684357,1.500047,-0.289082,-0.509332,1.168245
0.582000,1,0.215200,0.686588,1.505161,-0.288500,-0.510463,1.170117
0.584000,1,0.216552,0.688780,1.510146,-0.287926,-0.511553,1.171982
0.588000,1,0.217840,0.690929,1.514993,-0.287368,-0.512595,1.173824
0.588000,1,0.219057,0.693030,1.519697,-0.286829,-0.513588,1.175635
0.592000,1,0.220204,0.695084,1.524263,-0.286310,-0.514533,1.177420
0.592000,1,0.220204,0.695084,1.524263,-0.286310,-0.514533,1.177420
0.594000,1,0.222283,0.699047,1.532965,-0.285338,-0.516274,1.180902
0.598000,1,0.223204,0.700954,1.537059,-0.284889,-0.517071,1.182589
0.600000,1,0.224048,0.702809,1.540985,-0.284465,-0.517818,1.184239
0.600000,1,0.224811,0.704610,1.544689,-0.284068,-0.518516,1.185841
0.602000,1,0.225498,0.706355,1.548185,-0.283699,-0.519167,1.187395
0.604000,1,0.226105,0.708042,1.551452,-0.283357,-0.519769,1.188896
0.604000,1,0.226105,0.708042,1.551452,-0.283357,-0.519769,1.188896
0.608000,1,0.227089,0.711247,1.557352,-0.282761,-0.520836,1.191757
0.610000,1,0.227482,0.712752,1.560035,-0.282507,-0.521300,1.193108
0.612000,1,0.227815,0.714189,1.562562,-0.282284,-0.521719,1.194407
0.614000,1,0.228092,0.715548,1.564929,-0.282091,-0.522090,1.195644
0.616000,1,0.228313,0.716822,1.567080,-0.281925,-0.522415,1.196815
0.618000,1,0.228481,0.718015,1.569030,-0.281787,-0.522698,1.197926
0.620000,1,0.228592,0.719126,1.570733,-0.281675,-0.522940,1.198976
0.624000,1,0.228651,0.721106,1.573316,-0.281523,-0.523317,1.200902
0.624000,1,0.228651,0.721106,1.573316,-0.281523,-0.523317,1.200902
0.626000,1,0.228605,0.721976,1.574190,-0.281481,-0.523457,1.201779
0.628000,1,0.228530,0.722759,1.574890,-0.281465,-0.523564,1.202602
0.630000,1,0.228430,0.723459,1.575437,-0.281474,-0.523642,1.203370
0.634000,1,0.228296,0.724068,1.575697,-0.281502,-0.523693,1.204086
0.636000,1,0.228129,0.724587,1.575685,-0.281549,-0.523718,1.204750
0.636000,1,0.227929,0.725016,1.575358,-0.281613,-0.523720,1.205366
0.638000,1,0.227701,0.725355,1.574737,-0.281693,-0.523700,1.205935
0.640000,1,0.227450,0.725599,1.573836,-0.281790,-0.523659,1.206458
0.642000,1,0.227187,0.725745,1.572693,-0.281902,-0.523597,1.206937
0.644000,1,0.226917,0.725788,1.571338,-0.282031,-0.523513,1.207372
